Symbol,HR,estimate,se,zval.random,pVal.random,p.adj,pValQ,direction,num.coherence,k
STAMBPL1,0.7494828835167052,-0.28837179890278564,0.0988959115219455,-2.915912240100992,0.003546502425140361,0.37370482359112156,0.5480043231548141,----..-,5,5
UFSP2,0.662167964250481,-0.41223603279447113,0.14153854034681898,-2.9125355665273114,0.0035850737099101565,0.37375069192059157,0.3423023408309546,-+-----,6,7
AQR,0.6637190467387315,-0.4098963414286654,0.14074676872445185,-2.912296638448186,0.003587817355300589,0.37375069192059157,0.8787643256924559,-------,7,7
EXOC7,0.7100750949476564,-0.3423845470078565,0.11768984961166566,-2.909210506578119,0.0036234279143546894,0.3757456915335301,0.6068433274237517,-+-----,6,7
ANKRD36,0.7440750178990215,-0.2956134187226617,0.10163022898548929,-2.9087154646170212,0.0036291699766266383,0.3757456915335301,0.7463728246230354,---...-,4,4
NUP98,0.7125361441590308,-0.33892463948173196,0.11659735796251551,-2.9067951916259687,0.0036515218895413004,0.3758753782758716,0.5035560880420712,-------,7,7
SPATA13,0.7089592424334457,-0.34395724009189077,0.11844156678557492,-2.904024739174436,0.003683990487948395,0.3766199071106793,0.6085231558497469,-+--..-,4,5
H2AZ1,0.5849308994273303,-0.5362615593641146,0.18467754719160687,-2.9037723725436524,0.003686961130182788,0.3766199071106793,0.9162041554040306,.-..--.,3,3
TBC1D21,4.33026353896244,1.465628403664009,0.5049615180739463,2.902455635142841,0.0037024959821565276,0.37676599114424825,0.30182391432683836,+-.+...,2,3
DDX24,0.6412884976025298,-0.44427584905159123,0.15316885754981788,-2.9005625305202227,0.0037249350983404365,0.3783287693797328,0.3670625239502587,-+-----,6,7
MOSPD2,0.6926782229625446,-0.3671897123537146,0.1267686766316546,-2.896533450614456,0.0037731041505537524,0.3800624870958313,0.9161432334601614,-------,7,7
